PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,Name_length,IsAlone,Title,Survived
1,3,0,-0.6008535347846057,1,0,-0.5035948611437696,1,2,-0.4346722310760017,0,Mr,0
2,1,1,0.6120194268815157,1,0,0.734502563508859,2,2,2.5118057813888788,0,Mrs,1
3,3,1,-0.29763529436807534,0,0,-0.4905435931060373,1,1,-0.5399035886640332,1,Miss,1
4,1,1,0.38460574656911795,1,0,0.38292460482664,1,2,1.7751862782726588,0,Mrs,1
5,3,0,0.38460574656911795,0,0,-0.48812669161756833,1,1,-0.3294408734879703,1,Mr,0
6,3,0,0.19854581869126806,0,0,-0.48023212459563336,0,1,-1.171291734192222,1,Mr,0
7,1,0,1.8248923885476371,0,0,0.35899728009079734,1,1,-0.4346722310760017,1,Mr,0
8,3,0,-2.1169447368672576,3,1,-0.23628555651910413,1,5,0.30194727204021843,0,Master,0
9,3,1,-0.22183073426394276,0,2,-0.428510432742398,1,3,2.3013430662128163,0,Mrs,1
10,2,1,-1.2072900156176665,1,0,-0.06234985723935256,2,2,0.8281040599803757,0,Mrs,1
11,3,1,-1.9653356166589924,1,1,-0.32087710861551727,1,3,0.4071786296282499,0,Miss,1
12,1,1,2.1281106289641674,0,0,-0.13042527132416426,1,1,-0.3294408734879703,1,Miss,1
13,3,0,-0.7524626549928709,0,0,-0.48812669161756833,1,1,0.30194727204021843,1,Mr,0
14,3,0,0.6878239869856483,1,5,-0.03906639506003812,1,7,-0.013746800723875921,0,Mr,0
15,3,1,-1.2072900156176665,0,0,-0.49191252610910613,1,1,0.9333354175684072,1,Miss,0
16,2,1,1.9006969486517697,0,0,-0.33441175695094333,1,1,0.5124099872162814,1,Mrs,1
17,3,0,-2.1169447368672576,4,1,-0.08063710066170397,0,6,-0.7503663038400961,0,Master,0
18,2,0,0.19854581869126806,0,0,-0.39241739267419806,1,1,0.09148455686415553,1,Mr,1
19,3,1,0.08138750615258758,1,0,-0.2957413331354402,1,2,2.9327312117410047,0,Mrs,0
20,3,1,0.5388592118972947,0,0,-0.5040782414414634,2,1,-0.4346722310760017,1,Mrs,1
21,2,0,0.38460574656911795,0,0,-0.14105963787342762,1,1,-0.7503663038400961,1,Mr,0
22,2,0,0.30880118646498533,0,0,-0.39241739267419806,1,1,-0.6451349462520647,1,Mr,1
23,3,1,-1.1314854555135339,0,0,-0.4885288640252496,0,1,-0.013746800723875921,1,Miss,1
24,1,0,-0.14602617415981017,0,0,0.0426248752502123,1,1,0.09148455686415553,1,Mr,1
